text;label
"A SQL query is used to fetch data from a relational database.";database
"Network latency and bandwidth are key performance metrics.";networking
"The model was trained using a support vector machine algorithm.";machine-learning
"We need to optimize the database index for faster read operations.";database
"Configuring the router's firewall rules is crucial for security.";networking
"Hyperparameter tuning for the neural network took several hours.";machine-learning
"Denormalization can improve query performance but increases redundancy.";database
"The switch operates at Layer 2 of the OSI model.";networking
"BERT and GPT-3 are examples of large language models.";machine-learning
"TCP is a connection-oriented protocol, ensuring reliable data transfer.";networking
"UDP is a connectionless protocol, often used for streaming video and online gaming.";networking
"The OSI model has 7 layers, each with a specific networking function.";networking
"IP addresses are used to uniquely identify devices on a network.";networking
"A router connects different networks together, directing traffic between them.";networking
"A switch connects devices within the same local area network.";networking
"DNS resolves human-readable domain names to machine-readable IP addresses.";networking
"Firewalls are essential for network security, blocking unauthorized access.";networking
"VPNs create a secure, encrypted connection over a public network.";networking
"Network congestion occurs when a network is overloaded with data traffic.";networking
"Load balancers distribute incoming network traffic across multiple servers.";networking
"The physical layer of the OSI model deals with the hardware of network connections.";networking
"Ethernet is a common technology for wired local area networks.";networking
"Wi-Fi uses radio waves to provide wireless network connectivity.";networking
"Subnetting divides a large IP network into smaller, more manageable sub-networks.";networking
"The transport layer provides end-to-end communication services for applications.";networking
"HTTP is the foundation of data communication for the World Wide Web.";networking
"HTTPS is the secure version of HTTP, encrypting data in transit.";networking
"FTP is a standard network protocol used for transferring files between computers.";networking
"SSH provides a secure channel over an unsecured network in a client-server architecture.";networking
"ICMP is used by network devices to send error messages and operational information.";networking
"A packet is a small unit of data transmitted over a packet-switched network.";networking
"Latency is the delay in data communication over a network.";networking
"Bandwidth is the maximum rate of data transfer across a given path.";networking
"A proxy server acts as an intermediary for requests from clients seeking resources from other servers.";networking
"Network Address Translation (NAT) maps private IP addresses to a single public IP address.";networking
"The data link layer is responsible for node-to-node data transfer.";networking
"A MAC address is a unique identifier assigned to a network interface controller (NIC).";networking
"ARP resolves an IP address to a physical MAC address on a local network.";networking
"BGP is a standardized exterior gateway protocol designed to exchange routing and reachability information among autonomous systems.";networking
"OSPF is an interior gateway protocol used to distribute IP routing information throughout a single autonomous system.";networking
"A LAN is a local area network, confined to a small area like an office building.";networking
"A WAN is a wide area network, spanning a large geographical area.";networking
"A MAN is a metropolitan area network, larger than a LAN but smaller than a WAN.";networking
"QoS (Quality of Service) is used to manage network resources and prioritize traffic.";networking
"VoIP (Voice over IP) allows for making voice calls using an internet connection instead of a regular phone line.";networking
"A network hub is a simple device that connects multiple Ethernet devices, making them act as a single network segment.";networking
"A network bridge connects two different LANs, allowing them to function as a single LAN.";networking
"A gateway is a network node that connects two networks with different transmission protocols together.";networking
"The session layer of the OSI model manages sessions between end-user application processes.";networking
"The presentation layer formats and encrypts data to be sent across a network, providing freedom from compatibility problems.";networking
"The application layer is where network applications and their protocols, such as HTTP and FTP, operate.";networking
"A denial-of-service (DoS) attack is a cyber-attack in which the perpetrator seeks to make a machine or network resource unavailable.";networking
"A distributed denial-of-service (DDoS) attack is a DoS attack using multiple compromised computer systems as sources of attack traffic.";networking
"An intrusion detection system (IDS) is a device or software application that monitors a network for malicious activity or policy violations.";networking
"An intrusion prevention system (IPS) is a network security/threat prevention technology that examines network traffic flows to detect and prevent vulnerability exploits.";networking
"A honeypot is a security mechanism intended to detect, deflect, or, in some manner, counteract attempts at unauthorized use of information systems.";networking
"Port forwarding allows remote computers to connect to a specific computer or service within a private local-area network.";networking
"A bastion host is a special-purpose computer on a network specifically designed and configured to withstand attacks.";networking
"Network segmentation is the practice of splitting a computer network into sub-networks, each being a network segment.";networking
"Packet sniffing is the act of capturing data packets flowing across a computer network.";networking
"A VLAN (Virtual LAN) is any broadcast domain that is partitioned and isolated in a computer network at the data link layer.";networking
"MPLS (Multi-Protocol Label Switching) is a routing technique in telecommunications networks that directs data from one node to the next based on short path labels.";networking
"A network topology is the arrangement of the elements of a communication network.";networking
"A star topology is a network topology where each individual piece of a network is attached to a central node.";networking
"A bus topology is a network setup where each computer and network device are connected to a single cable or backbone.";networking
"A ring topology is a network configuration where device connections create a circular data path.";networking
"A mesh topology is a network setup where each computer and network device is interconnected with one another.";networking
"The TCP/IP model is a more concise framework for internet protocols than the OSI model.";networking
"A socket is one endpoint of a two-way communication link between two programs running on the network.";networking
"An API gateway is a central point of control for managing APIs.";networking
"Content Delivery Network (CDN) is a geographically distributed network of proxy servers and their data centers.";networking
"Anycast is a network addressing and routing methodology in which datagrams from a single sender are routed to the topologically nearest node in a group of potential receivers.";networking
"Multicast is group communication where data transmission is addressed to a group of destination computers simultaneously.";networking
"Unicast is a one-to-one transmission from one point in the network to another point.";networking
"The network layer is responsible for packet forwarding including routing through intermediate routers.";networking
"A firewall can be either hardware or software-based.";networking
"A network interface card (NIC) is a computer hardware component that connects a computer to a computer network.";networking
